Judge,Judge Nat.,Contestant,Contest Nat.,Score,Placement,Contest,Role,Difference
Mike Faltesek,USA,Pontus Persson,Sweden,4,1,Inv. Strictly,Leader,3
Steven Mitchell,USA,Pontus Persson,Sweden,1,1,Inv. Strictly,Leader,0
Lennart Westerlund,Sweden,Pontus Persson,Sweden,1,1,Inv. Strictly,Leader,0
Andy Reid,USA,Pontus Persson,Sweden,3,1,Inv. Strictly,Leader,2
Valerie Salstrom,USA,Pontus Persson,Sweden,2,1,Inv. Strictly,Leader,1
Casey Schneider,USA,Pontus Persson,Sweden,1,1,Inv. Strictly,Leader,0
Kenneth Norbelie,Sweden,Pontus Persson,Sweden,1,1,Inv. Strictly,Leader,0
Nalla Kim,Korea,Pontus Persson,Sweden,4,1,Inv. Strictly,Leader,3
Helena Norbelie,Sweden,Pontus Persson,Sweden,2,1,Inv. Strictly,Leader,1
Mike Faltesek,USA,Isabella Gregorio,Sweden,4,1,Inv. Strictly,Follower,3
Steven Mitchell,USA,Isabella Gregorio,Sweden,1,1,Inv. Strictly,Follower,0
Lennart Westerlund,Sweden,Isabella Gregorio,Sweden,1,1,Inv. Strictly,Follower,0
Andy Reid,USA,Isabella Gregorio,Sweden,3,1,Inv. Strictly,Follower,2
Valerie Salstrom,USA,Isabella Gregorio,Sweden,2,1,Inv. Strictly,Follower,1
Casey Schneider,USA,Isabella Gregorio,Sweden,1,1,Inv. Strictly,Follower,0
Kenneth Norbelie,Sweden,Isabella Gregorio,Sweden,1,1,Inv. Strictly,Follower,0
Nalla Kim,Korea,Isabella Gregorio,Sweden,4,1,Inv. Strictly,Follower,3
Helena Norbelie,Sweden,Isabella Gregorio,Sweden,2,1,Inv. Strictly,Follower,1
Mike Faltesek,USA,Remy Kouakou Kouame,France,1,2,Inv. Strictly,Leader,1
Steven Mitchell,USA,Remy Kouakou Kouame,France,8,2,Inv. Strictly,Leader,6
Lennart Westerlund,Sweden,Remy Kouakou Kouame,France,5,2,Inv. Strictly,Leader,3
Andy Reid,USA,Remy Kouakou Kouame,France,1,2,Inv. Strictly,Leader,1
Valerie Salstrom,USA,Remy Kouakou Kouame,France,1,2,Inv. Strictly,Leader,1
Casey Schneider,USA,Remy Kouakou Kouame,France,2,2,Inv. Strictly,Leader,0
Kenneth Norbelie,Sweden,Remy Kouakou Kouame,France,5,2,Inv. Strictly,Leader,3
Nalla Kim,Korea,Remy Kouakou Kouame,France,2,2,Inv. Strictly,Leader,0
Helena Norbelie,Sweden,Remy Kouakou Kouame,France,3,2,Inv. Strictly,Leader,1
Mike Faltesek,USA,Ramona Staffeld,USA,1,2,Inv. Strictly,Follower,1
Steven Mitchell,USA,Ramona Staffeld,USA,8,2,Inv. Strictly,Follower,6
Lennart Westerlund,Sweden,Ramona Staffeld,USA,5,2,Inv. Strictly,Follower,3
Andy Reid,USA,Ramona Staffeld,USA,1,2,Inv. Strictly,Follower,1
Valerie Salstrom,USA,Ramona Staffeld,USA,1,2,Inv. Strictly,Follower,1
Casey Schneider,USA,Ramona Staffeld,USA,2,2,Inv. Strictly,Follower,0
Kenneth Norbelie,Sweden,Ramona Staffeld,USA,5,2,Inv. Strictly,Follower,3
Nalla Kim,Korea,Ramona Staffeld,USA,2,2,Inv. Strictly,Follower,0
Helena Norbelie,Sweden,Ramona Staffeld,USA,3,2,Inv. Strictly,Follower,1
Mike Faltesek,USA,William Mauvais,France,2,3,Inv. Strictly,Leader,1
Steven Mitchell,USA,William Mauvais,France,2,3,Inv. Strictly,Leader,1
Lennart Westerlund,Sweden,William Mauvais,France,3,3,Inv. Strictly,Leader,0
Andy Reid,USA,William Mauvais,France,4,3,Inv. Strictly,Leader,1
Valerie Salstrom,USA,William Mauvais,France,3,3,Inv. Strictly,Leader,0
Casey Schneider,USA,William Mauvais,France,8,3,Inv. Strictly,Leader,5
Kenneth Norbelie,Sweden,William Mauvais,France,3,3,Inv. Strictly,Leader,0
Nalla Kim,Korea,William Mauvais,France,3,3,Inv. Strictly,Leader,0
Helena Norbelie,Sweden,William Mauvais,France,1,3,Inv. Strictly,Leader,2
Mike Faltesek,USA,Maeva Truntzer,France,2,3,Inv. Strictly,Follower,1
Steven Mitchell,USA,Maeva Truntzer,France,2,3,Inv. Strictly,Follower,1
Lennart Westerlund,Sweden,Maeva Truntzer,France,3,3,Inv. Strictly,Follower,0
Andy Reid,USA,Maeva Truntzer,France,4,3,Inv. Strictly,Follower,1
Valerie Salstrom,USA,Maeva Truntzer,France,3,3,Inv. Strictly,Follower,0
Casey Schneider,USA,Maeva Truntzer,France,8,3,Inv. Strictly,Follower,5
Kenneth Norbelie,Sweden,Maeva Truntzer,France,3,3,Inv. Strictly,Follower,0
Nalla Kim,Korea,Maeva Truntzer,France,3,3,Inv. Strictly,Follower,0
Helena Norbelie,Sweden,Maeva Truntzer,France,1,3,Inv. Strictly,Follower,2
Mike Faltesek,USA,Thomas Blacharz,France,9,4,Inv. Strictly,Leader,5
Steven Mitchell,USA,Thomas Blacharz,France,6,4,Inv. Strictly,Leader,2
Lennart Westerlund,Sweden,Thomas Blacharz,France,4,4,Inv. Strictly,Leader,0
Andy Reid,USA,Thomas Blacharz,France,2,4,Inv. Strictly,Leader,2
Valerie Salstrom,USA,Thomas Blacharz,France,7,4,Inv. Strictly,Leader,3
Casey Schneider,USA,Thomas Blacharz,France,10,4,Inv. Strictly,Leader,6
Kenneth Norbelie,Sweden,Thomas Blacharz,France,2,4,Inv. Strictly,Leader,2
Nalla Kim,Korea,Thomas Blacharz,France,1,4,Inv. Strictly,Leader,3
Helena Norbelie,Sweden,Thomas Blacharz,France,4,4,Inv. Strictly,Leader,0
Mike Faltesek,USA,Alice Mei,France,9,4,Inv. Strictly,Follower,5
Steven Mitchell,USA,Alice Mei,France,6,4,Inv. Strictly,Follower,2
Lennart Westerlund,Sweden,Alice Mei,France,4,4,Inv. Strictly,Follower,0
Andy Reid,USA,Alice Mei,France,2,4,Inv. Strictly,Follower,2
Valerie Salstrom,USA,Alice Mei,France,7,4,Inv. Strictly,Follower,3
Casey Schneider,USA,Alice Mei,France,10,4,Inv. Strictly,Follower,6
Kenneth Norbelie,Sweden,Alice Mei,France,2,4,Inv. Strictly,Follower,2
Nalla Kim,Korea,Alice Mei,France,1,4,Inv. Strictly,Follower,3
Helena Norbelie,Sweden,Alice Mei,France,4,4,Inv. Strictly,Follower,0
Mike Faltesek,USA,Skye Hymphries,Sweden,7,5,Inv. Strictly,Leader,2
Steven Mitchell,USA,Skye Hymphries,Sweden,5,5,Inv. Strictly,Leader,0
Lennart Westerlund,Sweden,Skye Hymphries,Sweden,6,5,Inv. Strictly,Leader,1
Andy Reid,USA,Skye Hymphries,Sweden,5,5,Inv. Strictly,Leader,0
Valerie Salstrom,USA,Skye Hymphries,Sweden,10,5,Inv. Strictly,Leader,5
Casey Schneider,USA,Skye Hymphries,Sweden,5,5,Inv. Strictly,Leader,0
Kenneth Norbelie,Sweden,Skye Hymphries,Sweden,4,5,Inv. Strictly,Leader,1
Nalla Kim,Korea,Skye Hymphries,Sweden,5,5,Inv. Strictly,Leader,0
Helena Norbelie,Sweden,Skye Hymphries,Sweden,5,5,Inv. Strictly,Leader,0
Mike Faltesek,USA,Marie Nahanfeldt,Sweden,7,5,Inv. Strictly,Follower,2
Steven Mitchell,USA,Marie Nahanfeldt,Sweden,5,5,Inv. Strictly,Follower,0
Lennart Westerlund,Sweden,Marie Nahanfeldt,Sweden,6,5,Inv. Strictly,Follower,1
Andy Reid,USA,Marie Nahanfeldt,Sweden,5,5,Inv. Strictly,Follower,0
Valerie Salstrom,USA,Marie Nahanfeldt,Sweden,10,5,Inv. Strictly,Follower,5
Casey Schneider,USA,Marie Nahanfeldt,Sweden,5,5,Inv. Strictly,Follower,0
Kenneth Norbelie,Sweden,Marie Nahanfeldt,Sweden,4,5,Inv. Strictly,Follower,1
Nalla Kim,Korea,Marie Nahanfeldt,Sweden,5,5,Inv. Strictly,Follower,0
Helena Norbelie,Sweden,Marie Nahanfeldt,Sweden,5,5,Inv. Strictly,Follower,0
Mike Faltesek,USA,Dax Hox,USA,6,6,Inv. Strictly,Leader,0
Steven Mitchell,USA,Dax Hox,USA,3,6,Inv. Strictly,Leader,3
Lennart Westerlund,Sweden,Dax Hox,USA,2,6,Inv. Strictly,Leader,4
Andy Reid,USA,Dax Hox,USA,7,6,Inv. Strictly,Leader,1
Valerie Salstrom,USA,Dax Hox,USA,9,6,Inv. Strictly,Leader,3
Casey Schneider,USA,Dax Hox,USA,3,6,Inv. Strictly,Leader,3
Kenneth Norbelie,Sweden,Dax Hox,USA,6,6,Inv. Strictly,Leader,0
Nalla Kim,Korea,Dax Hox,USA,6,6,Inv. Strictly,Leader,0
Helena Norbelie,Sweden,Dax Hox,USA,7,6,Inv. Strictly,Leader,1
Mike Faltesek,USA,Sarah Breck,USA,6,6,Inv. Strictly,Follower,0
Steven Mitchell,USA,Sarah Breck,USA,3,6,Inv. Strictly,Follower,3
Lennart Westerlund,Sweden,Sarah Breck,USA,2,6,Inv. Strictly,Follower,4
Andy Reid,USA,Sarah Breck,USA,7,6,Inv. Strictly,Follower,1
Valerie Salstrom,USA,Sarah Breck,USA,9,6,Inv. Strictly,Follower,3
Casey Schneider,USA,Sarah Breck,USA,3,6,Inv. Strictly,Follower,3
Kenneth Norbelie,Sweden,Sarah Breck,USA,6,6,Inv. Strictly,Follower,0
Nalla Kim,Korea,Sarah Breck,USA,6,6,Inv. Strictly,Follower,0
Helena Norbelie,Sweden,Sarah Breck,USA,7,6,Inv. Strictly,Follower,1
Mike Faltesek,USA,Todd Yannacone,USA,5,7,Inv. Strictly,Leader,2
Steven Mitchell,USA,Todd Yannacone,USA,7,7,Inv. Strictly,Leader,0
Lennart Westerlund,Sweden,Todd Yannacone,USA,7,7,Inv. Strictly,Leader,0
Andy Reid,USA,Todd Yannacone,USA,6,7,Inv. Strictly,Leader,1
Valerie Salstrom,USA,Todd Yannacone,USA,8,7,Inv. Strictly,Leader,1
Casey Schneider,USA,Todd Yannacone,USA,9,7,Inv. Strictly,Leader,2
Kenneth Norbelie,Sweden,Todd Yannacone,USA,7,7,Inv. Strictly,Leader,0
Nalla Kim,Korea,Todd Yannacone,USA,7,7,Inv. Strictly,Leader,0
Helena Norbelie,Sweden,Todd Yannacone,USA,6,7,Inv. Strictly,Leader,1
Mike Faltesek,USA,Laura Glaess,USA,5,7,Inv. Strictly,Follower,2
Steven Mitchell,USA,Laura Glaess,USA,7,7,Inv. Strictly,Follower,0
Lennart Westerlund,Sweden,Laura Glaess,USA,7,7,Inv. Strictly,Follower,0
Andy Reid,USA,Laura Glaess,USA,6,7,Inv. Strictly,Follower,1
Valerie Salstrom,USA,Laura Glaess,USA,8,7,Inv. Strictly,Follower,1
Casey Schneider,USA,Laura Glaess,USA,9,7,Inv. Strictly,Follower,2
Kenneth Norbelie,Sweden,Laura Glaess,USA,7,7,Inv. Strictly,Follower,0
Nalla Kim,Korea,Laura Glaess,USA,7,7,Inv. Strictly,Follower,0
Helena Norbelie,Sweden,Laura Glaess,USA,6,7,Inv. Strictly,Follower,1
Mike Faltesek,USA,Vincenzo Fesi,Italy,3,8,Inv. Strictly,Leader,5
Steven Mitchell,USA,Vincenzo Fesi,Italy,4,8,Inv. Strictly,Leader,4
Lennart Westerlund,Sweden,Vincenzo Fesi,Italy,8,8,Inv. Strictly,Leader,0
Andy Reid,USA,Vincenzo Fesi,Italy,8,8,Inv. Strictly,Leader,0
Valerie Salstrom,USA,Vincenzo Fesi,Italy,6,8,Inv. Strictly,Leader,2
Casey Schneider,USA,Vincenzo Fesi,Italy,4,8,Inv. Strictly,Leader,4
Kenneth Norbelie,Sweden,Vincenzo Fesi,Italy,10,8,Inv. Strictly,Leader,2
Nalla Kim,Korea,Vincenzo Fesi,Italy,10,8,Inv. Strictly,Leader,2
Helena Norbelie,Sweden,Vincenzo Fesi,Italy,10,8,Inv. Strictly,Leader,2
Mike Faltesek,USA,Moe Sakan,UK,3,8,Inv. Strictly,Follower,5
Steven Mitchell,USA,Moe Sakan,UK,4,8,Inv. Strictly,Follower,4
Lennart Westerlund,Sweden,Moe Sakan,UK,8,8,Inv. Strictly,Follower,0
Andy Reid,USA,Moe Sakan,UK,8,8,Inv. Strictly,Follower,0
Valerie Salstrom,USA,Moe Sakan,UK,6,8,Inv. Strictly,Follower,2
Casey Schneider,USA,Moe Sakan,UK,4,8,Inv. Strictly,Follower,4
Kenneth Norbelie,Sweden,Moe Sakan,UK,10,8,Inv. Strictly,Follower,2
Nalla Kim,Korea,Moe Sakan,UK,10,8,Inv. Strictly,Follower,2
Helena Norbelie,Sweden,Moe Sakan,UK,10,8,Inv. Strictly,Follower,2
Mike Faltesek,USA,Jakob Bergelin,Sweden,10,9,Inv. Strictly,Leader,1
Steven Mitchell,USA,Jakob Bergelin,Sweden,9,9,Inv. Strictly,Leader,0
Lennart Westerlund,Sweden,Jakob Bergelin,Sweden,10,9,Inv. Strictly,Leader,1
Andy Reid,USA,Jakob Bergelin,Sweden,10,9,Inv. Strictly,Leader,1
Valerie Salstrom,USA,Jakob Bergelin,Sweden,5,9,Inv. Strictly,Leader,4
Casey Schneider,USA,Jakob Bergelin,Sweden,7,9,Inv. Strictly,Leader,2
Kenneth Norbelie,Sweden,Jakob Bergelin,Sweden,8,9,Inv. Strictly,Leader,1
Nalla Kim,Korea,Jakob Bergelin,Sweden,8,9,Inv. Strictly,Leader,1
Helena Norbelie,Sweden,Jakob Bergelin,Sweden,8,9,Inv. Strictly,Leader,1
Mike Faltesek,USA,Anna Forss,Sweden,10,9,Inv. Strictly,Follower,1
Steven Mitchell,USA,Anna Forss,Sweden,9,9,Inv. Strictly,Follower,0
Lennart Westerlund,Sweden,Anna Forss,Sweden,10,9,Inv. Strictly,Follower,1
Andy Reid,USA,Anna Forss,Sweden,10,9,Inv. Strictly,Follower,1
Valerie Salstrom,USA,Anna Forss,Sweden,5,9,Inv. Strictly,Follower,4
Casey Schneider,USA,Anna Forss,Sweden,7,9,Inv. Strictly,Follower,2
Kenneth Norbelie,Sweden,Anna Forss,Sweden,8,9,Inv. Strictly,Follower,1
Nalla Kim,Korea,Anna Forss,Sweden,8,9,Inv. Strictly,Follower,1
Helena Norbelie,Sweden,Anna Forss,Sweden,8,9,Inv. Strictly,Follower,1
Mike Faltesek,USA,Felix Berghall,Sweden,8,10,Inv. Strictly,Leader,2
Steven Mitchell,USA,Felix Berghall,Sweden,10,10,Inv. Strictly,Leader,0
Lennart Westerlund,Sweden,Felix Berghall,Sweden,9,10,Inv. Strictly,Leader,1
Andy Reid,USA,Felix Berghall,Sweden,9,10,Inv. Strictly,Leader,1
Valerie Salstrom,USA,Felix Berghall,Sweden,4,10,Inv. Strictly,Leader,6
Casey Schneider,USA,Felix Berghall,Sweden,6,10,Inv. Strictly,Leader,4
Kenneth Norbelie,Sweden,Felix Berghall,Sweden,9,10,Inv. Strictly,Leader,1
Nalla Kim,Korea,Felix Berghall,Sweden,9,10,Inv. Strictly,Leader,1
Helena Norbelie,Sweden,Felix Berghall,Sweden,9,10,Inv. Strictly,Leader,1
Mike Faltesek,USA,Eleonor Kollberg,Sweden,8,10,Inv. Strictly,Follower,2
Steven Mitchell,USA,Eleonor Kollberg,Sweden,10,10,Inv. Strictly,Follower,0
Lennart Westerlund,Sweden,Eleonor Kollberg,Sweden,9,10,Inv. Strictly,Follower,1
Andy Reid,USA,Eleonor Kollberg,Sweden,9,10,Inv. Strictly,Follower,1
Valerie Salstrom,USA,Eleonor Kollberg,Sweden,4,10,Inv. Strictly,Follower,6
Casey Schneider,USA,Eleonor Kollberg,Sweden,6,10,Inv. Strictly,Follower,4
Kenneth Norbelie,Sweden,Eleonor Kollberg,Sweden,9,10,Inv. Strictly,Follower,1
Nalla Kim,Korea,Eleonor Kollberg,Sweden,9,10,Inv. Strictly,Follower,1
Helena Norbelie,Sweden,Eleonor Kollberg,Sweden,9,10,Inv. Strictly,Follower,1
Kenneth Norbelie,Sweden,Dax Hox,USA,1,1,Inv. J&J,Leader,0
Helena Norbelie,Sweden,Dax Hox,USA,1,1,Inv. J&J,Leader,0
Mike Faltesek,USA,Dax Hox,USA,1,1,Inv. J&J,Leader,0
Steven Mitchell,USA,Dax Hox,USA,1,1,Inv. J&J,Leader,0
Valerie Salstrom,USA,Dax Hox,USA,3,1,Inv. J&J,Leader,2
Andy Reid,USA,Dax Hox,USA,2,1,Inv. J&J,Leader,1
Lennart Westerlund,Sweden,Dax Hox,USA,1,1,Inv. J&J,Leader,0
Nalla Kim,Korea,Dax Hox,USA,3,1,Inv. J&J,Leader,2
Casey Schneider,USA,Dax Hox,USA,2,1,Inv. J&J,Leader,1
Kenneth Norbelie,Sweden,Maeva Truntzer,France,1,1,Inv. J&J,Follower,0
Helena Norbelie,Sweden,Maeva Truntzer,France,1,1,Inv. J&J,Follower,0
Mike Faltesek,USA,Maeva Truntzer,France,1,1,Inv. J&J,Follower,0
Steven Mitchell,USA,Maeva Truntzer,France,1,1,Inv. J&J,Follower,0
Valerie Salstrom,USA,Maeva Truntzer,France,3,1,Inv. J&J,Follower,2
Andy Reid,USA,Maeva Truntzer,France,2,1,Inv. J&J,Follower,1
Lennart Westerlund,Sweden,Maeva Truntzer,France,1,1,Inv. J&J,Follower,0
Nalla Kim,Korea,Maeva Truntzer,France,3,1,Inv. J&J,Follower,2
Casey Schneider,USA,Maeva Truntzer,France,2,1,Inv. J&J,Follower,1
Kenneth Norbelie,Sweden,Thomas Blacharz,France,2,2,Inv. J&J,Leader,0
Helena Norbelie,Sweden,Thomas Blacharz,France,4,2,Inv. J&J,Leader,2
Mike Faltesek,USA,Thomas Blacharz,France,2,2,Inv. J&J,Leader,0
Steven Mitchell,USA,Thomas Blacharz,France,2,2,Inv. J&J,Leader,0
Valerie Salstrom,USA,Thomas Blacharz,France,9,2,Inv. J&J,Leader,7
Andy Reid,USA,Thomas Blacharz,France,1,2,Inv. J&J,Leader,1
Lennart Westerlund,Sweden,Thomas Blacharz,France,2,2,Inv. J&J,Leader,0
Nalla Kim,Korea,Thomas Blacharz,France,1,2,Inv. J&J,Leader,1
Casey Schneider,USA,Thomas Blacharz,France,6,2,Inv. J&J,Leader,4
Kenneth Norbelie,Sweden,Isabella Gregorio,Italy,2,2,Inv. J&J,Follower,0
Helena Norbelie,Sweden,Isabella Gregorio,Italy,4,2,Inv. J&J,Follower,2
Mike Faltesek,USA,Isabella Gregorio,Italy,2,2,Inv. J&J,Follower,0
Steven Mitchell,USA,Isabella Gregorio,Italy,2,2,Inv. J&J,Follower,0
Valerie Salstrom,USA,Isabella Gregorio,Italy,9,2,Inv. J&J,Follower,7
Andy Reid,USA,Isabella Gregorio,Italy,1,2,Inv. J&J,Follower,1
Lennart Westerlund,Sweden,Isabella Gregorio,Italy,2,2,Inv. J&J,Follower,0
Nalla Kim,Korea,Isabella Gregorio,Italy,1,2,Inv. J&J,Follower,1
Casey Schneider,USA,Isabella Gregorio,Italy,6,2,Inv. J&J,Follower,4
Kenneth Norbelie,Sweden,Remy Kouakou Kouame,France,5,3,Inv. J&J,Leader,2
Helena Norbelie,Sweden,Remy Kouakou Kouame,France,2,3,Inv. J&J,Leader,1
Mike Faltesek,USA,Remy Kouakou Kouame,France,3,3,Inv. J&J,Leader,0
Steven Mitchell,USA,Remy Kouakou Kouame,France,4,3,Inv. J&J,Leader,1
Valerie Salstrom,USA,Remy Kouakou Kouame,France,2,3,Inv. J&J,Leader,1
Andy Reid,USA,Remy Kouakou Kouame,France,3,3,Inv. J&J,Leader,0
Lennart Westerlund,Sweden,Remy Kouakou Kouame,France,3,3,Inv. J&J,Leader,0
Nalla Kim,Korea,Remy Kouakou Kouame,France,2,3,Inv. J&J,Leader,1
Casey Schneider,USA,Remy Kouakou Kouame,France,4,3,Inv. J&J,Leader,1
Kenneth Norbelie,Sweden,Mia Goldsmith,USA,5,3,Inv. J&J,Follower,2
Helena Norbelie,Sweden,Mia Goldsmith,USA,2,3,Inv. J&J,Follower,1
Mike Faltesek,USA,Mia Goldsmith,USA,3,3,Inv. J&J,Follower,0
Steven Mitchell,USA,Mia Goldsmith,USA,4,3,Inv. J&J,Follower,1
Valerie Salstrom,USA,Mia Goldsmith,USA,2,3,Inv. J&J,Follower,1
Andy Reid,USA,Mia Goldsmith,USA,3,3,Inv. J&J,Follower,0
Lennart Westerlund,Sweden,Mia Goldsmith,USA,3,3,Inv. J&J,Follower,0
Nalla Kim,Korea,Mia Goldsmith,USA,2,3,Inv. J&J,Follower,1
Casey Schneider,USA,Mia Goldsmith,USA,4,3,Inv. J&J,Follower,1
Kenneth Norbelie,Sweden,Todd Yannacone,USA,3,4,Inv. J&J,Leader,1
Helena Norbelie,Sweden,Todd Yannacone,USA,3,4,Inv. J&J,Leader,1
Mike Faltesek,USA,Todd Yannacone,USA,5,4,Inv. J&J,Leader,1
Steven Mitchell,USA,Todd Yannacone,USA,3,4,Inv. J&J,Leader,1
Valerie Salstrom,USA,Todd Yannacone,USA,1,4,Inv. J&J,Leader,3
Andy Reid,USA,Todd Yannacone,USA,7,4,Inv. J&J,Leader,3
Lennart Westerlund,Sweden,Todd Yannacone,USA,10,4,Inv. J&J,Leader,6
Nalla Kim,Korea,Todd Yannacone,USA,5,4,Inv. J&J,Leader,1
Casey Schneider,USA,Todd Yannacone,USA,3,4,Inv. J&J,Leader,1
Kenneth Norbelie,Sweden,Alice Mei,France,3,4,Inv. J&J,Follower,1
Helena Norbelie,Sweden,Alice Mei,France,3,4,Inv. J&J,Follower,1
Mike Faltesek,USA,Alice Mei,France,5,4,Inv. J&J,Follower,1
Steven Mitchell,USA,Alice Mei,France,3,4,Inv. J&J,Follower,1
Valerie Salstrom,USA,Alice Mei,France,1,4,Inv. J&J,Follower,3
Andy Reid,USA,Alice Mei,France,7,4,Inv. J&J,Follower,3
Lennart Westerlund,Sweden,Alice Mei,France,10,4,Inv. J&J,Follower,6
Nalla Kim,Korea,Alice Mei,France,5,4,Inv. J&J,Follower,1
Casey Schneider,USA,Alice Mei,France,3,4,Inv. J&J,Follower,1
Kenneth Norbelie,Sweden,Kevin St. Laurent,USA,10,5,Inv. J&J,Leader,5
Helena Norbelie,Sweden,Kevin St. Laurent,USA,5,5,Inv. J&J,Leader,0
Mike Faltesek,USA,Kevin St. Laurent,USA,6,5,Inv. J&J,Leader,1
Steven Mitchell,USA,Kevin St. Laurent,USA,5,5,Inv. J&J,Leader,0
Valerie Salstrom,USA,Kevin St. Laurent,USA,8,5,Inv. J&J,Leader,3
Andy Reid,USA,Kevin St. Laurent,USA,4,5,Inv. J&J,Leader,1
Lennart Westerlund,Sweden,Kevin St. Laurent,USA,4,5,Inv. J&J,Leader,1
Nalla Kim,Korea,Kevin St. Laurent,USA,6,5,Inv. J&J,Leader,1
Casey Schneider,USA,Kevin St. Laurent,USA,5,5,Inv. J&J,Leader,0
Kenneth Norbelie,Sweden,Sarah Breck,USA,10,5,Inv. J&J,Follower,5
Helena Norbelie,Sweden,Sarah Breck,USA,5,5,Inv. J&J,Follower,0
Mike Faltesek,USA,Sarah Breck,USA,6,5,Inv. J&J,Follower,1
Steven Mitchell,USA,Sarah Breck,USA,5,5,Inv. J&J,Follower,0
Valerie Salstrom,USA,Sarah Breck,USA,8,5,Inv. J&J,Follower,3
Andy Reid,USA,Sarah Breck,USA,4,5,Inv. J&J,Follower,1
Lennart Westerlund,Sweden,Sarah Breck,USA,4,5,Inv. J&J,Follower,1
Nalla Kim,Korea,Sarah Breck,USA,6,5,Inv. J&J,Follower,1
Casey Schneider,USA,Sarah Breck,USA,5,5,Inv. J&J,Follower,0
Kenneth Norbelie,Sweden,Pontus Persson,Sweden,6,6,Inv. J&J,Leader,0
Helena Norbelie,Sweden,Pontus Persson,Sweden,6,6,Inv. J&J,Leader,0
Mike Faltesek,USA,Pontus Persson,Sweden,4,6,Inv. J&J,Leader,2
Steven Mitchell,USA,Pontus Persson,Sweden,12,6,Inv. J&J,Leader,6
Valerie Salstrom,USA,Pontus Persson,Sweden,12,6,Inv. J&J,Leader,6
Andy Reid,USA,Pontus Persson,Sweden,8,6,Inv. J&J,Leader,2
Lennart Westerlund,Sweden,Pontus Persson,Sweden,5,6,Inv. J&J,Leader,1
Nalla Kim,Korea,Pontus Persson,Sweden,10,6,Inv. J&J,Leader,4
Casey Schneider,USA,Pontus Persson,Sweden,8,6,Inv. J&J,Leader,2
Kenneth Norbelie,Sweden,Marie Nahanfeldt,Sweden,6,6,Inv. J&J,Follower,0
Helena Norbelie,Sweden,Marie Nahanfeldt,Sweden,6,6,Inv. J&J,Follower,0
Mike Faltesek,USA,Marie Nahanfeldt,Sweden,4,6,Inv. J&J,Follower,2
Steven Mitchell,USA,Marie Nahanfeldt,Sweden,12,6,Inv. J&J,Follower,6
Valerie Salstrom,USA,Marie Nahanfeldt,Sweden,12,6,Inv. J&J,Follower,6
Andy Reid,USA,Marie Nahanfeldt,Sweden,8,6,Inv. J&J,Follower,2
Lennart Westerlund,Sweden,Marie Nahanfeldt,Sweden,5,6,Inv. J&J,Follower,1
Nalla Kim,Korea,Marie Nahanfeldt,Sweden,10,6,Inv. J&J,Follower,4
Casey Schneider,USA,Marie Nahanfeldt,Sweden,8,6,Inv. J&J,Follower,2
Kenneth Norbelie,Sweden,Skye Humphires,Sweden,4,7,Inv. J&J,Leader,3
Helena Norbelie,Sweden,Skye Humphires,Sweden,8,7,Inv. J&J,Leader,1
Mike Faltesek,USA,Skye Humphires,Sweden,9,7,Inv. J&J,Leader,2
Steven Mitchell,USA,Skye Humphires,Sweden,6,7,Inv. J&J,Leader,1
Valerie Salstrom,USA,Skye Humphires,Sweden,10,7,Inv. J&J,Leader,3
Andy Reid,USA,Skye Humphires,Sweden,6,7,Inv. J&J,Leader,1
Lennart Westerlund,Sweden,Skye Humphires,Sweden,9,7,Inv. J&J,Leader,2
Nalla Kim,Korea,Skye Humphires,Sweden,7,7,Inv. J&J,Leader,0
Casey Schneider,USA,Skye Humphires,Sweden,9,7,Inv. J&J,Leader,2
Kenneth Norbelie,Sweden,Annie Trudeau,Canada,4,7,Inv. J&J,Follower,3
Helena Norbelie,Sweden,Annie Trudeau,Canada,8,7,Inv. J&J,Follower,1
Mike Faltesek,USA,Annie Trudeau,Canada,9,7,Inv. J&J,Follower,2
Steven Mitchell,USA,Annie Trudeau,Canada,6,7,Inv. J&J,Follower,1
Valerie Salstrom,USA,Annie Trudeau,Canada,10,7,Inv. J&J,Follower,3
Andy Reid,USA,Annie Trudeau,Canada,6,7,Inv. J&J,Follower,1
Lennart Westerlund,Sweden,Annie Trudeau,Canada,9,7,Inv. J&J,Follower,2
Nalla Kim,Korea,Annie Trudeau,Canada,7,7,Inv. J&J,Follower,0
Casey Schneider,USA,Annie Trudeau,Canada,9,7,Inv. J&J,Follower,2
Kenneth Norbelie,Sweden,William Mauvais,France,8,8,Inv. J&J,Leader,0
Helena Norbelie,Sweden,William Mauvais,France,9,8,Inv. J&J,Leader,1
Mike Faltesek,USA,William Mauvais,France,8,8,Inv. J&J,Leader,0
Steven Mitchell,USA,William Mauvais,France,10,8,Inv. J&J,Leader,2
Valerie Salstrom,USA,William Mauvais,France,6,8,Inv. J&J,Leader,2
Andy Reid,USA,William Mauvais,France,10,8,Inv. J&J,Leader,2
Lennart Westerlund,Sweden,William Mauvais,France,7,8,Inv. J&J,Leader,1
Nalla Kim,Korea,William Mauvais,France,11,8,Inv. J&J,Leader,3
Casey Schneider,USA,William Mauvais,France,7,8,Inv. J&J,Leader,1
Kenneth Norbelie,Sweden,Jessica Lennartsson,Sweden,8,8,Inv. J&J,Follower,0
Helena Norbelie,Sweden,Jessica Lennartsson,Sweden,9,8,Inv. J&J,Follower,1
